2022-05-19 14:05:172 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 19:05:533 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 19:05:227 INFO  HomePage :28 - Enter Username: [[ChromeDriver: chrome on WINDOWS (0d79dac566fb0683f8013f1c2ee5a3c7)] -> xpath: //input[@id='user-name']]
2022-05-19 19:05:682 INFO  HomePage :32 - Enter PassWord: [[ChromeDriver: chrome on WINDOWS (0d79dac566fb0683f8013f1c2ee5a3c7)] -> xpath: //input[@id='password']]
2022-05-19 19:05:409 INFO  HomePage :37 - Click on Login Button: [[ChromeDriver: chrome on WINDOWS (0d79dac566fb0683f8013f1c2ee5a3c7)] -> xpath: //input[@id='login-button']]
2022-05-19 19:05:990 INFO  ProductPage :32 - Select FROM Drop Down: [[ChromeDriver: chrome on WINDOWS (0d79dac566fb0683f8013f1c2ee5a3c7)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 19:05:182 INFO  ProductPage :40 - Click on Cheapest Product: [[ChromeDriver: chrome on WINDOWS (0d79dac566fb0683f8013f1c2ee5a3c7)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-19 19:05:366 INFO  ProductPage :36 - Click on Costliest Product: [[ChromeDriver: chrome on WINDOWS (0d79dac566fb0683f8013f1c2ee5a3c7)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
2022-05-19 19:05:834 INFO  ProductPage :44 - Click on Shopping Cart: [[ChromeDriver: chrome on WINDOWS (0d79dac566fb0683f8013f1c2ee5a3c7)] -> xpath: //body/div[@id='root']/div[@id='page_wrapper']/div[@id='contents_wrapper']/div[@id='header_container']/div[1]/div[3]/a[1]]
2022-05-19 19:05:462 INFO  CheckOutPage :37 - Enter First Name: [[ChromeDriver: chrome on WINDOWS (0d79dac566fb0683f8013f1c2ee5a3c7)] -> xpath: //input[@id='first-name']]
2022-05-19 19:05:670 INFO  CheckOutPage :41 - Enter Last Name: [[ChromeDriver: chrome on WINDOWS (0d79dac566fb0683f8013f1c2ee5a3c7)] -> xpath: //input[@id='last-name']]
2022-05-19 19:05:976 INFO  CheckOutPage :45 - Enter Post Code: [[ChromeDriver: chrome on WINDOWS (0d79dac566fb0683f8013f1c2ee5a3c7)] -> xpath: //input[@id='postal-code']]
2022-05-19 19:05:168 INFO  CheckOutPage :49 - Click on Continue Tab: [[ChromeDriver: chrome on WINDOWS (0d79dac566fb0683f8013f1c2ee5a3c7)] -> xpath: //input[@id='continue']]
2022-05-19 19:05:364 INFO  CheckOutPage :53 - Click on Finish Tab: [[ChromeDriver: chrome on WINDOWS (0d79dac566fb0683f8013f1c2ee5a3c7)] -> xpath: //button[@id='finish']]
2022-05-19 19:05:413 INFO  ConfirmationPage :22 - Get Message: [[ChromeDriver: chrome on WINDOWS (0d79dac566fb0683f8013f1c2ee5a3c7)] -> xpath: //h2[contains(text(),'THANK YOU FOR YOUR ORDER')]]
